Rk,Player,Pos,Age,Date,Lg,Tm,"",Opp,Result,G#,Week,Day,FantPt,PPR,DKPt,FDPt,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Fmb,FGM,FGA,XPM,XPA
Rk,Player,Pos,Age,Date,Lg,Tm,"",Opp,Result,G#,Week,Day,FantPt,PPR,DKPt,FDPt,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Fmb,FGM,FGA,XPM,XPA
141,Stefon Diggs,WR,25.283,2019-09-08,NFL,MIN,"",ATL,W 28-12,1,1,Sun,3.70,5.7,5.7,4.7,0,0,0,0,0,0,0,0,2,37,0,0,"","","",""
142,Nyheim Hines,RB,22.300,2019-09-08,NFL,IND,@,LAC,L 24-30,1,1,Sun,1.70,5.7,5.7,3.7,0,0,0,0,0,4,13,0,4,4,0,0,"","","",""
143,Geoff Swaim,TE,25.357,2019-09-08,NFL,JAX,"",KAN,L 26-40,1,1,Sun,1.70,5.7,5.7,3.7,0,0,0,0,0,0,0,0,4,17,0,0,"","","",""
144,Nick Boyle,TE,26.203,2019-09-08,NFL,BAL,@,MIA,W 59-10,1,1,Sun,2.60,5.6,5.6,4.1,0,0,0,0,0,0,0,0,3,26,0,0,"","","",""
145,Gus Edwards,RB,24.148,2019-09-08,NFL,BAL,@,MIA,W 59-10,1,1,Sun,5.60,5.6,5.6,5.6,0,0,0,0,0,17,56,0,0,0,0,0,"","","",""
146,D'Ernest Johnson,RB,23.193,2019-09-08,NFL,CLE,"",TEN,L 13-43,1,1,Sun,3.60,5.6,5.6,4.6,0,0,0,0,0,1,13,0,2,23,0,0,"","","",""
147,Deon Cain,WR,23.030,2019-09-08,NFL,IND,@,LAC,L 24-30,1,1,Sun,3.50,5.5,5.5,4.5,0,0,0,0,0,0,0,0,2,35,0,0,"","","",""
148,Diontae Johnson,WR,23.065,2019-09-08,NFL,PIT,@,NWE,L 3-33,1,1,Sun,2.50,5.5,5.5,4.0,0,0,0,0,0,0,0,0,3,25,0,0,"","","",""
149,David Montgomery,RB,22.090,2019-09-05,NFL,CHI,"",GNB,L 3-10,1,1,Thu,4.50,5.5,5.5,5.0,0,0,0,0,0,6,18,0,1,27,0,0,"","","",""
150,Tommy Sweeney,TE,24.069,2019-09-08,NFL,BUF,@,NYJ,W 17-16,1,1,Sun,3.50,5.5,5.5,4.5,0,0,0,0,0,0,0,0,2,35,0,0,"","","",""
151,Robby Anderson,WR,26.122,2019-09-08,NFL,NYJ,"",BUF,L 16-17,1,1,Sun,2.30,5.3,5.3,3.8,0,0,0,0,0,0,0,0,3,23,0,0,"","","",""
152,O.J. Howard,TE,24.293,2019-09-08,NFL,TAM,"",SFO,L 17-31,1,1,Sun,1.20,5.2,6.2,3.2,0,0,0,0,0,0,0,0,4,32,0,1,"","","",""
153,Mike Gesicki,TE,23.340,2019-09-08,NFL,MIA,"",BAL,L 10-59,1,1,Sun,3.10,5.1,5.1,4.1,0,0,0,0,0,0,0,0,2,31,0,0,"","","",""
154,Kelvin Harmon,WR,22.267,2019-09-08,NFL,WAS,@,PHI,L 27-32,1,1,Sun,3.10,5.1,5.1,4.1,0,0,0,0,0,0,0,0,2,31,0,0,"","","",""
155,Raheem Mostert,RB,27.152,2019-09-08,NFL,SFO,@,TAM,W 31-17,1,1,Sun,4.00,5.0,5.0,4.5,0,0,0,0,0,9,40,0,1,0,0,0,"","","",""
156,Ito Smith,RB,23.362,2019-09-08,NFL,ATL,@,MIN,L 12-28,1,1,Sun,4.00,5.0,5.0,4.5,0,0,0,0,0,6,31,0,1,9,0,0,"","","",""
157,Aaron Jones,RB,24.277,2019-09-05,NFL,GNB,@,CHI,W 10-3,1,1,Thu,3.90,4.9,4.9,4.4,0,0,0,0,0,13,39,0,1,0,0,1,"","","",""
158,Alexander Mattison,RB,21.081,2019-09-08,NFL,MIN,"",ATL,W 28-12,1,1,Sun,4.90,4.9,4.9,4.9,0,0,0,0,0,9,49,0,0,0,0,0,"","","",""
159,Mike Williams,WR,24.339,2019-09-08,NFL,LAC,"",IND,W 30-24,1,1,Sun,2.90,4.9,4.9,3.9,0,0,0,0,0,0,0,0,2,29,0,0,"","","",""
160,Alex Erickson,WR,26.306,2019-09-08,NFL,CIN,@,SEA,L 20-21,1,1,Sun,0.80,4.8,5.8,2.8,0,0,0,0,0,0,0,0,4,28,0,1,"","","",""
Rk,Player,Pos,Age,Date,Lg,Tm,"",Opp,Result,G#,Week,Day,FantPt,PPR,DKPt,FDPt,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Fmb,FGM,FGA,XPM,XPA
161,Mike Evans,WR,26.018,2019-09-08,NFL,TAM,"",SFO,L 17-31,1,1,Sun,2.80,4.8,4.8,3.8,0,0,0,0,0,0,0,0,2,28,0,0,"","","",""
162,Kenyan Drake,RB,25.225,2019-09-08,NFL,MIA,"",BAL,L 10-59,1,1,Sun,2.70,4.7,4.7,3.7,0,0,0,0,0,4,12,0,2,15,0,0,"","","",""
163,Deebo Samuel,WR,23.236,2019-09-08,NFL,SFO,@,TAM,W 31-17,1,1,Sun,1.70,4.7,5.7,3.2,0,0,0,0,0,0,0,0,3,17,0,1,"","","",""
164,Ryan Grant,WR,28.264,2019-09-09,NFL,OAK,"",DEN,W 24-16,1,1,Mon,1.60,4.6,4.6,3.1,0,0,0,0,0,0,0,0,3,16,0,0,"","","",""
165,Noah Fant,TE,21.293,2019-09-09,NFL,DEN,@,OAK,L 16-24,1,1,Mon,2.40,4.4,4.4,3.4,0,0,0,0,0,1,-5,0,2,29,0,0,"","","",""
166,Taylor Gabriel,WR,28.200,2019-09-05,NFL,CHI,"",GNB,L 3-10,1,1,Thu,2.40,4.4,4.4,3.4,0,0,0,0,0,0,0,0,2,24,0,0,"","","",""
167,J.D. McKissic,RB,26.024,2019-09-08,NFL,DET,@,ARI,T 27-27,1,1,Sun,2.40,4.4,4.4,3.4,0,0,0,0,0,0,0,0,2,24,0,0,"","","",""
168,Dion Lewis,RB,28.346,2019-09-08,NFL,TEN,@,CLE,W 43-13,1,1,Sun,1.30,4.3,4.3,2.8,0,0,0,0,0,3,7,0,3,6,0,0,"","","",""
169,Devonta Freeman,RB,27.177,2019-09-08,NFL,ATL,@,MIN,L 12-28,1,1,Sun,1.10,4.1,5.1,2.6,0,0,0,0,0,8,19,0,3,12,0,1,"","","",""
170,Tyreek Hill,WR,25.191,2019-09-08,NFL,KAN,@,JAX,W 40-26,1,1,Sun,2.10,4.1,4.1,3.1,0,0,0,0,0,1,5,0,2,16,0,0,"","","",""
171,Ryan Griffin,TE,29.240,2019-09-08,NFL,NYJ,"",BUF,L 16-17,1,1,Sun,1.00,4.0,4.0,2.5,0,0,0,0,0,0,0,0,3,10,0,0,"","","",""
172,Foster Moreau,TE,22.126,2019-09-09,NFL,OAK,"",DEN,W 24-16,1,1,Mon,2.00,4.0,4.0,3.0,0,0,0,0,0,0,0,0,2,20,0,0,"","","",""
173,Trevor Davis,WR,26.063,2019-09-05,NFL,GNB,@,CHI,W 10-3,1,1,Thu,2.80,3.8,3.8,3.3,0,0,0,0,0,0,0,0,1,28,0,0,"","","",""
174,Zay Jones,WR,24.162,2019-09-08,NFL,BUF,@,NYJ,W 17-16,1,1,Sun,1.80,3.8,3.8,2.8,0,0,0,0,0,0,0,0,2,18,0,0,"","","",""
175,Robert Tonyan,TE,25.128,2019-09-05,NFL,GNB,@,CHI,W 10-3,1,1,Thu,2.80,3.8,3.8,3.3,0,0,0,0,0,0,0,0,1,28,0,0,"","","",""
176,Matt Breida,RB,24.192,2019-09-08,NFL,SFO,@,TAM,W 31-17,1,1,Sun,3.70,3.7,3.7,3.7,0,0,0,0,0,15,37,0,0,0,0,0,"","","",""
177,Joe Mixon,HB,23.046,2019-09-08,NFL,CIN,@,SEA,L 20-21,1,1,Sun,1.70,3.7,3.7,2.7,0,0,0,0,0,6,10,0,2,7,0,0,"","","",""
178,Donte Moncrief,WR,26.033,2019-09-08,NFL,PIT,@,NWE,L 3-33,1,1,Sun,0.70,3.7,3.7,2.2,0,0,0,0,0,0,0,0,3,7,0,0,"","","",""
179,Damion Ratley,WR,24.145,2019-09-08,NFL,CLE,"",TEN,L 13-43,1,1,Sun,1.70,3.7,3.7,2.7,0,0,0,0,0,0,0,0,2,17,0,0,"","","",""
180,Miles Sanders,RB,22.130,2019-09-08,NFL,PHI,"",WAS,W 32-27,1,1,Sun,2.70,3.7,3.7,3.2,0,0,0,0,0,11,25,0,1,2,0,0,"","","",""
Rk,Player,Pos,Age,Date,Lg,Tm,"",Opp,Result,G#,Week,Day,FantPt,PPR,DKPt,FDPt,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Fmb,FGM,FGA,XPM,XPA
181,Dallas Goedert,TE,24.248,2019-09-08,NFL,PHI,"",WAS,W 32-27,1,1,Sun,1.60,3.6,3.6,2.6,0,0,0,0,0,0,0,0,2,16,0,0,"","","",""
182,Nick Vannett,TE,26.186,2019-09-08,NFL,SEA,"",CIN,W 21-20,1,1,Sun,1.60,3.6,3.6,2.6,0,0,0,0,0,0,0,0,2,16,0,0,"","","",""
183,C.J. Anderson,RB,28.210,2019-09-08,NFL,DET,@,ARI,T 27-27,1,1,Sun,3.50,3.5,3.5,3.5,0,0,0,0,0,11,35,0,0,0,0,0,"","","",""
184,Jamaal Williams,RB,24.155,2019-09-05,NFL,GNB,@,CHI,W 10-3,1,1,Thu,1.50,3.5,3.5,2.5,0,0,0,0,0,5,0,0,2,15,0,0,"","","",""
185,Marcedes Lewis,TE,35.109,2019-09-05,NFL,GNB,@,CHI,W 10-3,1,1,Thu,1.40,3.4,3.4,2.4,0,0,0,0,0,0,0,0,2,14,0,0,"","","",""
186,Albert Wilson,WR,27.058,2019-09-08,NFL,MIA,"",BAL,L 10-59,1,1,Sun,1.40,3.4,3.4,2.4,0,0,0,0,0,1,1,0,2,13,0,0,"","","",""
187,Hunter Renfrow,WR,23.262,2019-09-09,NFL,OAK,"",DEN,W 24-16,1,1,Mon,1.30,3.3,3.3,2.3,0,0,0,0,0,0,0,0,2,13,0,0,"","","",""
188,Travis Benjamin,WR/PR,29.253,2019-09-08,NFL,LAC,"",IND,W 30-24,1,1,Sun,1.20,3.2,3.2,2.2,0,0,0,0,0,0,0,0,2,12,0,0,"","","",""
189,Allen Hurns,WR,27.300,2019-09-08,NFL,MIA,"",BAL,L 10-59,1,1,Sun,2.20,3.2,3.2,2.7,0,0,0,0,0,0,0,0,1,22,0,0,"","","",""
190,Jakobi Meyers,WR,22.303,2019-09-08,NFL,NWE,"",PIT,W 33-3,1,1,Sun,2.20,3.2,3.2,2.7,0,0,0,0,0,0,0,0,1,22,0,0,"","","",""
191,Nelson Agholor,WR,26.107,2019-09-08,NFL,PHI,"",WAS,W 32-27,1,1,Sun,1.10,3.1,3.1,2.1,0,0,0,0,0,0,0,0,2,11,0,0,"","","",""
192,Jack Doyle,TE,29.126,2019-09-08,NFL,IND,@,LAC,L 24-30,1,1,Sun,2.00,3.0,3.0,2.5,0,0,0,0,0,0,0,0,1,20,0,0,"","","",""
193,Breshad Perriman,WR,25.363,2019-09-08,NFL,TAM,"",SFO,L 17-31,1,1,Sun,1.00,3.0,3.0,2.0,0,0,0,0,0,0,0,0,2,10,0,0,"","","",""
194,Patrick DiMarco,FB,30.131,2019-09-08,NFL,BUF,@,NYJ,W 17-16,1,1,Sun,0.90,2.9,2.9,1.9,0,0,0,0,0,0,0,0,2,9,0,0,"","","",""
195,Cameron Brate,TE,28.067,2019-09-08,NFL,TAM,"",SFO,L 17-31,1,1,Sun,0.80,2.8,2.8,1.8,0,0,0,0,0,0,0,0,2,8,0,0,"","","",""
196,Jordan Akins,TE,27.143,2019-09-09,NFL,HOU,@,NOR,L 28-30,1,1,Mon,1.70,2.7,2.7,2.2,0,0,0,0,0,0,0,0,1,17,0,0,"","","",""
197,Justice Hill,RB,21.298,2019-09-08,NFL,BAL,@,MIA,W 59-10,1,1,Sun,2.70,2.7,2.7,2.7,0,0,0,0,0,7,27,0,0,0,0,0,"","","",""
198,Jonnu Smith,TE,24.017,2019-09-08,NFL,TEN,@,CLE,W 43-13,1,1,Sun,1.70,2.7,2.7,2.2,0,0,0,0,0,1,10,0,1,7,0,0,"","","",""
199,Josh Bellamy,WR,30.113,2019-09-08,NFL,NYJ,"",BUF,L 16-17,1,1,Sun,1.50,2.5,2.5,2.0,0,0,0,0,0,0,0,0,1,15,0,0,"","","",""
200,DaeSean Hamilton,WR,24.183,2019-09-09,NFL,DEN,@,OAK,L 16-24,1,1,Mon,0.50,2.5,2.5,1.5,0,0,0,0,0,0,0,0,2,5,0,0,"","","",""
1,Demarcus Robinson,WR,24.359,2019-09-15,NFL,KAN,@,OAK,W 28-10,2,2,Sun,29.20,35.2,38.2,32.2,0,0,0,0,0,0,0,0,6,172,2,0,"","","",""
2,Emmanuel Sanders,WR,32.182,2019-09-15,NFL,DEN,"",CHI,L 14-16,2,2,Sun,17.80,28.8,28.8,23.3,0,0,0,0,0,0,0,0,11,98,1,0,"","","",""
3,Odell Beckham,WR,26.315,2019-09-16,NFL,CLE,@,NYJ,W 23-3,2,2,Mon,22.10,28.1,31.1,25.1,0,0,0,0,0,0,0,0,6,161,1,0,"","","",""
4,Dalvin Cook,RB,24.036,2019-09-15,NFL,MIN,@,GNB,L 16-21,2,2,Sun,25.10,28.1,31.1,26.6,0,0,0,0,0,20,154,1,3,37,0,0,"","","",""
5,Julio Jones,WR,30.219,2019-09-15,NFL,ATL,"",PHI,W 24-20,2,2,Sun,22.60,27.6,30.6,25.1,0,0,0,0,0,0,0,0,5,106,2,0,"","","",""
6,Chris Godwin,WR,23.197,2019-09-12,NFL,TAM,@,CAR,W 20-14,2,2,Thu,18.10,26.1,29.1,22.1,0,0,0,0,0,0,0,0,8,121,1,0,"","","",""
7,Kenny Golladay,WR,25.316,2019-09-15,NFL,DET,"",LAC,W 13-10,2,2,Sun,17.70,25.7,28.7,21.7,0,0,0,0,0,0,0,0,8,117,1,0,"","","",""
